
Algorithm:	Greedy
Structure:	(0,0,0/x2/2)(0,0,0/z1/2)(0,0,0/y3/2)(0,0,1/x2/2)(0,0,1/y1/2)(1,0,0/y3/2)(1,0,1/y1/2)(1,0,0/z3/2)(1,1,0/z3/2)(0,1,0/z1/2)(0,1,1/x0/2)(0,1,0/x0/2)
Score: 		24
Results: 	288
Date:		10/01/2023 11:17:52

(0,0,0/x2/rbyg)(0,0,0/z1/gryb)(0,0,0/y3/bgyr)(1,0,0/y3/yrgb)(1,0,0/z3/rgby)(0,0,1/x2/ygrb)(0,0,1/y1/gbry)(1,0,1/y1/rybg)(1,1,0/z3/gyrb)(0,1,1/x0/bygr)(0,1,0/x0/grby)(0,1,0/z1/ygbr)
(0,0,0/x2/yrgb)(0,0,0/z1/gyrb)(0,0,0/y3/rgyb)(1,0,0/y3/gybr)(1,0,0/z3/ybgr)(0,0,1/x2/rybg)(0,0,1/y1/ybrg)(1,0,1/y1/brgy)(1,1,0/z3/byrg)(0,1,1/x0/bgyr)(0,1,0/x0/gbry)(0,1,0/z1/ygbr)
(0,0,0/x2/bgyr)(0,0,0/z1/rbyg)(0,0,0/y3/gryb)(1,0,0/y3/ybgr)(1,0,0/z3/brgy)(0,0,1/x2/ybrg)(0,0,1/y1/bgry)(1,0,1/y1/rybg)(1,1,0/z3/gyrb)(0,1,1/x0/bygr)(0,1,0/x0/gbry)(0,1,0/z1/ygbr)
(0,0,0/x2/brgy)(0,0,0/z1/gbry)(0,0,0/y3/rgyb)(1,0,0/y3/grby)(1,0,0/z3/rygb)(0,0,1/x2/rbyg)(0,0,1/y1/byrg)(1,0,1/y1/ybgr)(1,1,0/z3/bryg)(0,1,1/x0/bgry)(0,1,0/x0/gbyr)(0,1,0/z1/ygbr)
(0,0,0/x2/ygrb)(0,0,0/z1/rygb)(0,0,0/y3/gryb)(1,0,0/y3/rgby)(1,0,0/z3/gbry)(0,0,1/x2/gybr)(0,0,1/y1/ybrg)(1,0,1/y1/bygr)(1,1,0/z3/bryg)(0,1,1/x0/bgry)(0,1,0/x0/gbyr)(0,1,0/z1/ygbr)
(0,0,0/x2/yrbg)(0,0,0/z1/gyrb)(0,0,0/y3/rgyb)(1,0,0/y3/brgy)(1,0,0/z3/rgby)(0,0,1/x2/rygb)(0,0,1/y1/ybrg)(1,0,1/y1/gybr)(1,1,0/z3/gryb)(0,1,1/x0/bgry)(0,1,0/x0/gbyr)(0,1,0/z1/ygbr)
(0,0,0/x2/yrgb)(0,0,0/z1/gyrb)(0,0,0/y3/rgyb)(1,0,0/y3/grby)(1,0,0/z3/rbyg)(0,0,1/x2/rgby)(0,0,1/y1/gbry)(1,0,1/y1/bgyr)(1,1,0/z3/brgy)(0,1,1/x0/byrg)(0,1,0/x0/gbyr)(0,1,0/z1/ygbr)
(0,0,0/x2/ybgr)(0,0,0/z1/gyrb)(0,0,0/y3/bgyr)(1,0,0/y3/gbry)(1,0,0/z3/brgy)(0,0,1/x2/rybg)(0,0,1/y1/ybrg)(1,0,1/y1/bygr)(1,1,0/z3/rbyg)(0,1,1/x0/bgry)(0,1,0/x0/gryb)(0,1,0/z1/ygbr)
(0,0,0/x2/rgby)(0,0,0/z1/bryg)(0,0,0/y3/gbyr)(1,0,0/y3/brgy)(1,0,0/z3/rygb)(0,0,1/x2/ybrg)(0,0,1/y1/bgry)(1,0,1/y1/rbyg)(1,1,0/z3/gbry)(0,1,1/x0/bygr)(0,1,0/x0/gryb)(0,1,0/z1/ygbr)
(0,0,0/x2/gybr)(0,0,0/z1/rgyb)(0,0,0/y3/yrgb)(1,0,0/y3/byrg)(1,0,0/z3/yrbg)(0,0,1/x2/ygrb)(0,0,1/y1/gbyr)(1,0,1/y1/rgby)(1,1,0/z3/rygb)(0,1,1/x0/bryg)(0,1,0/x0/rbgy)(0,1,0/z1/grby)
