
Algorithm:	combinationOne
Structure:	(0,0,0-z1-4)(1,0,0-x0-4)(3,0,0-z3-4)(1,0,1-z3-4)(2,0,1-z1-4)(0,0,2-z1-4)
Date:		25/08/2022 10:51:52

(0,0,0-z1-gyrb)(1,0,0-x0-ygrb)(3,0,0-z3-gbyr)(1,0,1-z3-gryb)(2,0,1-z1-rygb)(0,0,2-z1-bygr)
(0,0,0-z1-rygb)(1,0,0-x0-ybgr)(3,0,0-z3-yrbg)(1,0,1-z3-bgry)(2,0,1-z1-gbyr)(0,0,2-z1-brgy)
(0,0,0-z1-gbyr)(1,0,0-x0-bryg)(3,0,0-z3-bgry)(1,0,1-z3-rygb)(2,0,1-z1-yrbg)(0,0,2-z1-rgby)
(0,0,0-z1-rygb)(1,0,0-x0-ybgr)(3,0,0-z3-yrbg)(1,0,1-z3-bgry)(2,0,1-z1-gbyr)(0,0,2-z1-bryg)
(0,0,0-z1-yrbg)(1,0,0-x0-rgby)(3,0,0-z3-rygb)(1,0,1-z3-gbyr)(2,0,1-z1-bgry)(0,0,2-z1-gyrb)
(0,0,0-z1-bgry)(1,0,0-x0-gyrb)(3,0,0-z3-gbyr)(1,0,1-z3-yrbg)(2,0,1-z1-rygb)(0,0,2-z1-ybgr)
(0,0,0-z1-rgby)(1,0,0-x0-gyrb)(3,0,0-z3-gbyr)(1,0,1-z3-ybrg)(2,0,1-z1-rygb)(0,0,2-z1-yrbg)
(0,0,0-z1-gbyr)(1,0,0-x0-bryg)(3,0,0-z3-ygrb)(1,0,1-z3-rygb)(2,0,1-z1-yrbg)(0,0,2-z1-rgby)
(0,0,0-z1-gyrb)(1,0,0-x0-ybgr)(3,0,0-z3-yrbg)(1,0,1-z3-brgy)(2,0,1-z1-gbyr)(0,0,2-z1-bgyr)
(0,0,0-z1-rygb)(1,0,0-x0-ybgr)(3,0,0-z3-grby)(1,0,1-z3-bgry)(2,0,1-z1-gbyr)(0,0,2-z1-brgy)
(0,0,0-z1-rygb)(1,0,0-x0-ybgr)(3,0,0-z3-grby)(1,0,1-z3-bgry)(2,0,1-z1-gbyr)(0,0,2-z1-bryg)
(0,0,0-z1-rgby)(1,0,0-x0-gyrb)(3,0,0-z3-gbyr)(1,0,1-z3-ybrg)(2,0,1-z1-rygb)(0,0,2-z1-yrgb)
